id,chris_distance,held_distance,nn_dist,chris_path,held_path,nn_path,chris_diff,nn_diff
21,502.41914020840886,346.4985511273564,1168.8003317476296,"[(51, 87), (99, 91), (81, 40), (35, 27), (47, 1), (62, 9), (68, 10), (22, 66), (60, 51), (80, 58), (80, 49), (82, 84), (9, 99), (49, 83), (51, 87)]","[(81, 40), (80, 49), (60, 51), (80, 58), (99, 91), (82, 84), (51, 87), (49, 83), (9, 99), (22, 66), (35, 27), (47, 1), (62, 9), (68, 10), (81, 40)]","[(81, 40), (80, 49), (81, 40), (80, 58), (81, 40), (60, 51), (81, 40), (68, 10), (81, 40), (62, 9), (81, 40), (82, 84), (81, 40), (35, 27), (81, 40), (47, 1), (81, 40), (49, 83), (81, 40), (99, 91), (81, 40), (51, 87), (81, 40), (22, 66), (81, 40), (9, 99), (81, 40)]",155.92058908105247,822.3017806202731 
22,596.6310728490347,348.2954365417987,1464.3717846770242,"[(46, 72), (49, 96), (49, 87), (6, 55), (15, 5), (78, 32), (46, 35), (91, 85), (82, 81), (69, 80), (65, 6), (6, 6), (66, 93), (56, 79), (46, 72)]","[(78, 32), (65, 6), (46, 35), (15, 5), (6, 6), (6, 55), (46, 72), (56, 79), (49, 87), (49, 96), (66, 93), (69, 80), (82, 81), (91, 85), (78, 32)]","[(78, 32), (65, 6), (78, 32), (46, 35), (78, 32), (69, 80), (78, 32), (82, 81), (78, 32), (46, 72), (78, 32), (56, 79), (78, 32), (91, 85), (78, 32), (66, 93), (78, 32), (49, 87), (78, 32), (15, 5), (78, 32), (49, 96), (78, 32), (6, 55), (78, 32), (6, 6), (78, 32)]",248.33563630723597,1116.0763481352255 
23,541.0102054629598,338.5073415294659,1266.3942783361347,"[(60, 92), (50, 77), (94, 16), (27, 10), (55, 50), (46, 58), (25, 48), (14, 59), (28, 71), (22, 84), (67, 16), (2, 93), (35, 95), (48, 83), (60, 92)]","[(2, 93), (22, 84), (28, 71), (14, 59), (25, 48), (27, 10), (67, 16), (94, 16), (55, 50), (46, 58), (50, 77), (48, 83), (60, 92), (35, 95), (2, 93)]","[(60, 92), (48, 83), (60, 92), (50, 77), (60, 92), (35, 95), (60, 92), (46, 58), (60, 92), (28, 71), (60, 92), (22, 84), (60, 92), (55, 50), (60, 92), (25, 48), (60, 92), (14, 59), (60, 92), (2, 93), (60, 92), (67, 16), (60, 92), (94, 16), (60, 92), (27, 10), (60, 92)]",202.50286393349387,927.8869368066687 
24,469.41149574057715,294.27210137958326,1419.5439725494853,"[(71, 32), (82, 42), (92, 53), (34, 75), (10, 66), (16, 74), (8, 46), (21, 58), (22, 73), (28, 83), (97, 10), (69, 67), (76, 5), (84, 33), (71, 32)]","[(84, 33), (97, 10), (76, 5), (71, 32), (21, 58), (8, 46), (10, 66), (16, 74), (22, 73), (28, 83), (34, 75), (69, 67), (92, 53), (82, 42), (84, 33)]","[(92, 53), (82, 42), (92, 53), (84, 33), (92, 53), (69, 67), (92, 53), (71, 32), (92, 53), (97, 10), (92, 53), (76, 5), (92, 53), (34, 75), (92, 53), (28, 83), (92, 53), (21, 58), (92, 53), (22, 73), (92, 53), (16, 74), (92, 53), (10, 66), (92, 53), (8, 46), (92, 53)]",175.1393943609939,1125.271871169902 
25,528.1896227923623,350.14636015320025,1668.4799466118222,"[(95, 2), (84, 35), (48, 49), (2, 23), (4, 71), (23, 86), (32, 72), (36, 87), (28, 9), (9, 22), (70, 79), (50, 68), (75, 4), (92, 0), (95, 2)]","[(28, 9), (75, 4), (92, 0), (95, 2), (84, 35), (70, 79), (50, 68), (48, 49), (32, 72), (36, 87), (23, 86), (4, 71), (2, 23), (9, 22), (28, 9)]","[(2, 23), (9, 22), (2, 23), (28, 9), (2, 23), (4, 71), (2, 23), (48, 49), (2, 23), (32, 72), (2, 23), (50, 68), (2, 23), (23, 86), (2, 23), (36, 87), (2, 23), (75, 4), (2, 23), (84, 35), (2, 23), (70, 79), (2, 23), (92, 0), (2, 23), (95, 2), (2, 23)]",178.0432626391621,1318.333586458622 
26,541.8434122717536,278.32461032690577,1299.2580136403624,"[(40, 74), (38, 17), (95, 54), (79, 35), (90, 19), (57, 79), (65, 35), (92, 72), (82, 55), (14, 30), (19, 37), (27, 10), (48, 79), (44, 72), (40, 74)]","[(57, 79), (48, 79), (44, 72), (40, 74), (19, 37), (14, 30), (27, 10), (38, 17), (65, 35), (90, 19), (79, 35), (82, 55), (95, 54), (92, 72), (57, 79)]","[(95, 54), (82, 55), (95, 54), (92, 72), (95, 54), (79, 35), (95, 54), (90, 19), (95, 54), (65, 35), (95, 54), (57, 79), (95, 54), (48, 79), (95, 54), (44, 72), (95, 54), (40, 74), (95, 54), (38, 17), (95, 54), (19, 37), (95, 54), (27, 10), (95, 54), (14, 30), (95, 54)]",263.5188019448478,1020.9334033134567 
27,517.8884024403043,341.04729802849516,1035.3280140384932,"[(72, 33), (54, 47), (30, 87), (10, 91), (29, 0), (28, 26), (19, 80), (8, 43), (91, 66), (71, 60), (86, 19), (87, 30), (85, 46), (73, 22), (72, 33)]","[(91, 66), (85, 46), (87, 30), (86, 19), (73, 22), (72, 33), (29, 0), (28, 26), (8, 43), (19, 80), (10, 91), (30, 87), (54, 47), (71, 60), (91, 66)]","[(54, 47), (71, 60), (54, 47), (72, 33), (54, 47), (85, 46), (54, 47), (73, 22), (54, 47), (28, 26), (54, 47), (87, 30), (54, 47), (91, 66), (54, 47), (86, 19), (54, 47), (8, 43), (54, 47), (30, 87), (54, 47), (19, 80), (54, 47), (29, 0), (54, 47), (10, 91), (54, 47)]",176.8411044118091,694.2807160099981 
28,466.960692167337,342.5238406843289,1201.2539092886466,"[(41, 21), (0, 84), (28, 99), (58, 89), (62, 66), (50, 55), (36, 57), (41, 76), (12, 81), (83, 37), (70, 39), (13, 4), (46, 36), (44, 26), (41, 21)]","[(46, 36), (70, 39), (83, 37), (62, 66), (50, 55), (36, 57), (41, 76), (58, 89), (28, 99), (12, 81), (0, 84), (13, 4), (41, 21), (44, 26), (46, 36)]","[(41, 21), (44, 26), (41, 21), (46, 36), (41, 21), (13, 4), (41, 21), (70, 39), (41, 21), (50, 55), (41, 21), (36, 57), (41, 21), (83, 37), (41, 21), (62, 66), (41, 21), (41, 76), (41, 21), (12, 81), (41, 21), (58, 89), (41, 21), (0, 84), (41, 21), (28, 99), (41, 21)]",124.43685148300813,858.7300686043177 
29,432.1136952283496,329.71090974172046,980.2326824294685,"[(34, 46), (59, 9), (70, 40), (81, 70), (82, 90), (56, 93), (91, 63), (62, 50), (9, 79), (6, 76), (53, 66), (17, 25), (30, 36), (37, 44), (34, 46)]","[(9, 79), (56, 93), (82, 90), (91, 63), (81, 70), (53, 66), (62, 50), (70, 40), (59, 9), (17, 25), (30, 36), (37, 44), (34, 46), (6, 76), (9, 79)]","[(34, 46), (37, 44), (34, 46), (30, 36), (34, 46), (17, 25), (34, 46), (53, 66), (34, 46), (62, 50), (34, 46), (70, 40), (34, 46), (6, 76), (34, 46), (9, 79), (34, 46), (59, 9), (34, 46), (56, 93), (34, 46), (81, 70), (34, 46), (91, 63), (34, 46), (82, 90), (34, 46)]",102.40278548662917,650.521772687748 
30,629.8818748226653,338.98901813398925,1441.1347353660822,"[(73, 49), (82, 34), (51, 67), (58, 87), (19, 76), (9, 30), (65, 9), (84, 97), (89, 76), (62, 4), (33, 65), (44, 86), (92, 33), (64, 32), (73, 49)]","[(82, 34), (92, 33), (73, 49), (89, 76), (84, 97), (58, 87), (44, 86), (51, 67), (33, 65), (19, 76), (9, 30), (62, 4), (65, 9), (64, 32), (82, 34)]","[(65, 9), (62, 4), (65, 9), (64, 32), (65, 9), (82, 34), (65, 9), (92, 33), (65, 9), (73, 49), (65, 9), (51, 67), (65, 9), (9, 30), (65, 9), (33, 65), (65, 9), (89, 76), (65, 9), (58, 87), (65, 9), (44, 86), (65, 9), (19, 76), (65, 9), (84, 97), (65, 9)]",290.89285668867603,1102.145717232093 
